Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Type,Time,Media file name,Image index,Image file path,Comment
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,24.891,observation_with_box.mp4,746,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,25.292,observation_with_box.mp4,758,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,25.492,observation_with_box.mp4,764,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,25.759,observation_with_box.mp4,772,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,25.759,observation_with_box.mp4,772,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,25.959,observation_with_box.mp4,778,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.059,observation_with_box.mp4,781,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.126,observation_with_box.mp4,783,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.226,observation_with_box.mp4,786,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.493,observation_with_box.mp4,794,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.526,observation_with_box.mp4,795,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.726,observation_with_box.mp4,801,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.826,observation_with_box.mp4,804,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.86,observation_with_box.mp4,805,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.927,observation_with_box.mp4,807,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.027,observation_with_box.mp4,810,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.06,observation_with_box.mp4,811,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.16,observation_with_box.mp4,814,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.36,observation_with_box.mp4,820,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,27.427,observation_with_box.mp4,822,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.527,observation_with_box.mp4,825,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,27.761,observation_with_box.mp4,832,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.827,observation_with_box.mp4,834,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,27.961,observation_with_box.mp4,838,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,28.094,observation_with_box.mp4,842,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,28.194,observation_with_box.mp4,845,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,28.261,observation_with_box.mp4,847,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,28.295,observation_with_box.mp4,848,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,28.361,observation_with_box.mp4,850,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,28.528,observation_with_box.mp4,855,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,28.562,observation_with_box.mp4,856,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,28.695,observation_with_box.mp4,860,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,28.862,observation_with_box.mp4,865,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,28.862,observation_with_box.mp4,865,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,28.995,observation_with_box.mp4,869,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,29.029,observation_with_box.mp4,870,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,29.329,observation_with_box.mp4,879,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,29.429,observation_with_box.mp4,882,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,29.596,observation_with_box.mp4,887,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,29.629,observation_with_box.mp4,888,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,29.796,observation_with_box.mp4,893,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,29.829,observation_with_box.mp4,894,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,29.963,observation_with_box.mp4,898,NA,
